#{"t_start": 1671732235.1091685, "env_id": null}
r,l,t
1.0,33,185.406841
0.0,752,185.868707
0.0,76,186.057513
0.0,22,186.775913
0.0,86,188.203898
0.0,183,189.076542
0.0,11,189.423018
0.0,1001,190.299782
0.0,177,190.651361
0.0,126,190.81079
0.0,462,190.911823
0.0,89,191.040035
0.0,1001,191.355232
0.0,44,191.706381
0.0,466,192.343151
0.0,1001,192.869289
0.0,60,193.305451
0.0,89,193.700167
0.0,107,194.131618
0.0,40,194.200182
0.0,83,195.086118
0.0,61,195.304379
0.0,13,195.501022
0.0,14,195.762196
1.0,155,195.954409
0.0,11,196.313453
0.0,5,196.478397
0.0,27,197.368989
0.0,16,197.895131
0.0,504,199.729303
0.0,338,200.488375
0.0,1001,201.371386
1.0,735,203.094994
0.0,99,204.595526
1.0,336,205.179459
1.0,310,205.697903
0.0,383,206.773214
1.0,242,208.370623
0.0,541,208.769924
1.0,98,208.896932
0.0,340,209.057162
0.0,823,209.326459
0.0,480,209.456768
0.0,13,209.488022
0.0,419,209.519716
1.0,815,209.717266
0.0,163,209.912155
0.0,19,209.94433
0.0,24,210.274517
1.0,819,212.591932
0.0,86,212.720971
0.0,126,213.569197
0.0,125,214.027999
0.0,53,214.321234
0.0,1001,214.678353
1.0,14,215.125239
0.0,89,215.606843
0.0,227,216.280332
0.0,220,216.873312
0.0,93,217.043909
1.0,47,217.144053
0.0,427,219.113863
1.0,72,219.406601
1.0,360,220.122122
0.0,103,220.515761
0.0,118,220.728748
1.0,53,221.127979
0.0,23,221.491952
0.0,1001,224.436991
0.0,142,225.13503
0.0,197,225.52925
0.0,368,227.148739
0.0,189,227.30736
0.0,57,227.407579
0.0,185,227.535079
1.0,281,229.29646
1.0,55,229.326433
0.0,921,229.765814
0.0,45,230.741846
1.0,113,231.019311
1.0,26,231.642392
1.0,142,231.926739
0.0,712,231.988678
1.0,73,234.283699
1.0,142,234.313437
1.0,246,235.043058
0.0,1001,235.633136
0.0,4,235.763352
1.0,675,253.960843
1.0,805,254.152638
0.0,374,254.280772
0.0,47,254.311239
0.0,752,255.708369
0.0,1001,257.042683
0.0,103,257.638992
0.0,6,257.836223
1.0,331,259.463655
0.0,4,259.594104
0.0,1001,259.75695
0.0,315,262.299631
0.0,10,262.627763
1.0,449,263.767888
0.0,953,264.663678
1.0,382,265.811422
1.0,383,266.104506
1.0,276,266.203501
1.0,226,266.310973
1.0,26,267.127852
1.0,7,267.350637
1.0,5,267.507772
0.0,385,267.540408
1.0,29,268.41534
1.0,544,268.978843
0.0,8,269.24121
0.0,45,269.879701
0.0,42,270.595967
1.0,198,270.696068
1.0,244,271.081272
1.0,14,271.534685
1.0,698,271.53488
0.0,42,272.908864
0.0,52,273.242522
1.0,242,273.863886
1.0,106,274.118858
0.0,1001,274.60862
1.0,40,275.42719
0.0,422,275.589491
0.0,23,276.185232
1.0,725,276.343039
0.0,59,276.536023
1.0,22,277.249131
1.0,379,277.984216
0.0,1001,278.726415
0.0,52,280.422062
1.0,253,281.186998
1.0,157,282.438855
1.0,213,282.608011
0.0,811,282.770849
0.0,734,283.003013
1.0,71,283.534877
0.0,4,283.675166
0.0,186,284.123912
0.0,354,284.840035
0.0,536,285.031771
0.0,9,285.130893
1.0,97,285.77317
0.0,1001,286.068299
1.0,37,286.231823
0.0,131,287.054787
0.0,112,288.750566
1.0,709,289.241473
0.0,79,289.598422
0.0,123,289.758958
0.0,31,290.608593
0.0,236,291.774144
0.0,565,292.322734
1.0,82,293.26901
1.0,136,294.180478
1.0,276,295.11884
1.0,383,295.375169
0.0,47,295.634572
0.0,11,295.988849
0.0,370,297.948239
0.0,668,298.01075
1.0,51,299.66656
1.0,82,300.592969
1.0,538,300.989924
0.0,1001,302.347469
0.0,1001,303.050349
0.0,5,303.208328
0.0,871,304.406609
0.0,499,304.800544
0.0,17,305.358796
1.0,367,307.839818
0.0,517,308.417744
0.0,222,310.447801
0.0,899,311.519229
1.0,574,311.776623
0.0,709,312.134722
1.0,124,312.463269
0.0,1001,312.915136
0.0,550,313.178681
0.0,34,313.339135
1.0,16,313.534526
1.0,176,313.663073
1.0,366,316.458738
1.0,435,316.6178
0.0,5,316.784297
1.0,143,317.238812
1.0,129,317.499571
0.0,37,317.995895
1.0,550,319.026784
0.0,45,338.179799
0.0,119,338.957038
0.0,10,339.280313
1.0,332,340.283032
1.0,308,340.954551
0.0,13,341.363091
1.0,738,342.282796
0.0,1001,342.405296
1.0,925,342.803041
1.0,270,344.321486
0.0,657,344.421343
0.0,407,344.479693
0.0,132,344.5301
1.0,11,344.655712
1.0,513,344.793222
0.0,327,345.378573
1.0,39,345.759372
0.0,185,347.155319
1.0,167,347.488776
1.0,31,348.169228
1.0,960,348.33569
0.0,150,349.076272
1.0,318,349.36264
1.0,366,349.681941
0.0,59,351.25526
0.0,169,352.938791
1.0,324,353.066652
0.0,16,353.454814
0.0,759,353.609018
1.0,703,353.705354
1.0,61,355.059738
