#{"t_start": 1671732235.1091685, "env_id": null}
r,l,t
1.0,320,777.274903
1.0,65,777.467237
0.0,186,777.891392
1.0,24,777.99354
1.0,43,778.687805
1.0,27,778.78863
1.0,608,779.188716
1.0,66,779.188785
1.0,90,779.842221
0.0,44,780.54725
1.0,72,781.571989
0.0,1001,781.736372
1.0,103,781.804312
1.0,134,781.936686
1.0,255,782.431134
1.0,33,782.662711
1.0,374,782.791141
1.0,39,783.095219
1.0,85,783.358196
1.0,54,783.715933
1.0,28,783.715992
1.0,65,783.874924
0.0,132,783.945046
0.0,19,784.572198
1.0,27,784.602819
1.0,367,784.665303
1.0,38,784.968038
1.0,90,785.627048
1.0,55,786.473334
0.0,200,786.659466
1.0,282,787.143676
0.0,32,787.707024
1.0,138,787.875644
1.0,111,788.599059
1.0,189,788.630916
1.0,11,788.985228
1.0,36,789.773377
1.0,120,790.387119
0.0,1001,790.58452
1.0,205,791.290387
1.0,77,791.489639
0.0,13,791.908092
1.0,523,792.039665
1.0,234,792.201298
1.0,58,792.463086
1.0,243,793.546999
1.0,51,793.711953
1.0,578,794.243934
0.0,32,794.597006
0.0,67,794.658786
1.0,78,794.756193
1.0,358,794.790965
